SessionGUID;String;GUID идентификатор сессии пользователя.
UniversityKode;String;GUID идентификатор ВУЗа, при указании которого будут выводиться данные только указанного ВУЗа. Параметр обязателен.
UniversityFacultetKode;String;GUID идентификатор факультета ВУЗа, при указании которого будут выводиться данные только указанного факультета. Параметр может принимать значение пустой строки. При указании пустой строки параметр будет игнорироваться в фильтре получения факультетов ВУЗ.
SpecCode;String;GUID идентификатор специальности факультета ВУЗа включающей в себя индустрию направление специальность и специализацию, при указании которого будут выводиться данные только указанной специальности. Параметр может принимать значение пустой строки. При указании пустой строки параметр будет игнорироваться в фильтре получения специальностей факультетов ВУЗ.
Id_Language;int;Идентификатор языка для названий специальностей ВУЗов.
ActualDate;String;Дата на которую берутся актуальные данные. Формат ДД.ММ.ГГГГ ЧЧ:ММ:СС.
Id_PersonRequestSeasons;int;Идентификатор вступительной компании.
Id_PersonEducationForm;int;Идентификатор формы обучения.Параметр не обязательный, для игнорирования необходимо указать 0
UniversitySpecialitiesKode;String;GUID идентификатор специальностифакультета. Параметр не обязательный, дляигнорирования параметранеобходимо указать пустую строку.
SpecDirectionsCode;String;GUID идентификатор направления. Параметр не обязательный, дляигнорирования параметра необходимо указать пустую строку.
SpecSpecialityCode;String;GUID идентификатор специальности специальностифакультета. Параметр не обязательный, для игнорирования параметранеобходимо указать пустую строку.
Filters;String;Комплексный параметр, для передачи дополнительных фильтров для данных. Параметр не обязательный. Подробное описание комплексного типа смотрите в документе «Работа с web сервисами ЄДЕБО» в разделе «2.5.1 Комплексный параметр». Типы данных, которые возможно устанавливать в комплексном параметре. Тип Название типа Передаваемые значения 1 Идентификатор квалификационного уровня Id_Qualification Числовое значение параметра Id_Qualification.
